"player","oapm","dapm","apm","poss"
"Jaylin Williams",12.0589897605174,-10.7848780060672,1.27411175445021,10817
"Frank Kaminsky",15.5364013141036,-14.2698722951609,1.26652901894268,966
"Dillon Brooks",9.26465786894531,-8.03974386712103,1.22491400182428,28248
"Gabe Vincent",10.6472165942516,-9.42403430442451,1.22318228982711,14291
"Cole Anthony",11.4613257379751,-10.2604438566156,1.20088188135951,18642
"Haywood Highsmith",9.47097390839026,-8.28919015483758,1.18178375355268,16719
"Aaron Holiday",9.27388195770812,-8.10303842641315,1.17084353129497,12147
"Victor Oladipo",12.1314005627717,-10.9755877076671,1.15581285510457,4443
"Jaylen Clark",12.690825446796,-11.5520506517258,1.13877479507022,2165
"Saddiq Bey",15.7743394034639,-14.6541010671216,1.1202383363423,17608
"Xavier Tillman",9.25069386891695,-8.14049062821326,1.1102032407037,9898
"Adama Sanogo",9.663115237422,-8.57246160265152,1.09065363477048,366
"Jabari Smith Jr.",10.6258355838546,-9.53851116378187,1.08732442007274,27296
"Jonas Valanciunas",14.4452078591243,-13.4113053628846,1.03390249623975,22387
"Jarred Vanderbilt",12.3204946861184,-11.3545465264777,0.965948159640709,12718
"Goran Dragic",11.4360055898042,-10.4855575015609,0.9504480882433,3703
"Pelle Larsson",10.8851837693925,-9.96230013103063,0.922883638361851,3153
"Max Strus",11.5132777175935,-10.6004304465613,0.912847271032213,23729
"James Johnson",10.5694669512614,-9.66112365568203,0.908343295579385,1024
"Dominick Barlow",12.3467283349273,-11.4521509174024,0.894577417524836,5082
"Payton Pritchard",10.9798903077303,-10.0921676523784,0.887722655351913,18939
"Santi Aldama",12.7864628938422,-11.9092725717917,0.877190322050478,20775
"Nikola Vucevic",12.0668314552617,-11.2092450486674,0.857586406594265,31643
"Duncan Robinson",12.5328267354269,-11.6922421174117,0.840584618015139,17663
"Terrence Shannon Jr.",5.57619181545269,-4.74005301771365,0.836138797739042,1432
"Jalen Duren",12.8467494372833,-12.0233665029522,0.823382934331091,22836
"Zach Collins",9.03071926879773,-8.21359762237489,0.817121646422843,16690
"Malik Monk",13.1162008105789,-12.3045710435577,0.811629767021175,23792
"Colby Jones",11.475405257296,-10.6777996057706,0.797605651525412,2867
"Mo Bamba",10.1137510727201,-9.34476734036629,0.768983732353817,7779
"Ben Simmons",13.0398232999524,-12.2708787491825,0.768944550769916,10597
